threshold,both,benefit_only,risk_only,neither,pct_both,pct_benefit_only,pct_risk_only,pct_neither
1,298,69,14,6,77.0,17.8,3.6,1.6
2,180,142,30,35,46.5,36.7,7.8,9.0
3,100,156,38,93,25.8,40.3,9.8,24.0
